Model Name,FrameWork,Hardware type,Count,Precision,Batch Size,In tokens,Out tokens,TTFT,Latency,Power Avg,Power Avg (Active),Power Peak,Power Peak (Active),Energy,Energy (Active)
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,4,torch.float16,2,128,128,37.82811528071761,3.436071177944541,799.4938142857143,799.4938142857143,881.665,881.665,3400.435101601124,3400.435101601124
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,4,torch.float16,2,256,256,48.39879227802157,6.694553184788674,832.367981617647,832.367981617647,1061.086,1061.086,6448.22628131032,6448.22628131032
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,4,torch.float16,2,512,512,101.81585373356938,13.529920781031253,848.7791380025425,848.7791380025425,1429.062,1429.062,12519.103796670435,12519.103796670435
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,4,torch.float16,2,1024,1024,175.06501404568553,27.018030195031315,924.931972861621,924.931972861621,1495.7890000000002,1495.7890000000002,26132.663961924314,26132.663961924314
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,4,torch.float16,2,2048,2048,402.48843375593424,62.46079813828692,1019.9255314142464,1019.9255314142464,1537.851,1537.851,65017.12595519733,65017.12595519733
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,4,torch.float16,4,128,128,59.52297290787101,3.385788207873702,921.053584126984,921.053584126984,964.359,964.359,3962.543684275627,3962.543684275627
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,4,torch.float16,4,256,256,91.37223334982993,6.77214904082939,990.7140857843136,990.7140857843136,1420.653,1420.653,7724.0394584243295,7724.0394584243295
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,4,torch.float16,4,512,512,174.40922232344747,13.61573622515425,990.7019311112878,990.7019311112878,1211.796,1211.796,14636.654710826877,14636.654710826877
meta-llama/Meta-Llama-3-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,1,128,128,25.362559128552675,3.3888167669065297,326.2100587301587,160.93871428571427,339.59800000000007,173.86,1305.5526307041646,563.2855414514542
meta-llama/Meta-Llama-3-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,1,256,256,31.31280979141593,6.443896752316505,334.6463453296703,169.68138461538462,341.329,175.869,2338.6838611001967,1102.9292043583391
meta-llama/Meta-Llama-3-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,1,512,512,48.64402627572417,12.792894429992884,352.62826771504353,188.4087307692308,572.2080000000001,407.879,4746.89813982916,2449.31384402156
meta-llama/Meta-Llama-3-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,1,1024,1024,111.59006785601376,25.710153287276626,354.26341784316315,190.37461538461545,367.826,203.552,9373.09383108282,4949.740686747789
meta-llama/Meta-Llama-3-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,1,2048,2048,176.3803348876536,0.32283367915079,260.928,97.524,260.928,97.524,292.115062210083,48.76202325153351
meta-llama/Meta-Llama-3-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,2,128,128,31.31819609552622,3.2941442001610994,363.0013571428572,199.4748571428572,503.544,339.871,1432.2111586189271,698.1620810315609
meta-llama/Meta-Llama-3-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,2,256,256,59.87357813864946,6.561720111873001,348.5767105042016,185.00964285714284,407.105,243.432,2601.727868126154,1295.067672863245
meta-llama/Meta-Llama-3-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,2,512,512,94.34940991923212,13.234242097940296,354.5686236270753,191.1655925925926,370.426,206.753,4948.070647725581,2580.7358213584416
meta-llama/Meta-Llama-3-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,2,1024,1024,174.87757094204426,26.652323939837515,386.8777905603656,223.3144629629629,568.405,404.681,10607.14846971035,6029.491400392532
