active_energy,total_energy,active_power_avg,active_power_peak,active_power_p50,active_power_p95,total_power_avg,total_power_peak,total_power_p50,total_power_p95,active_gpu_util_avg,active_gpu_util_peak,active_gpu_util_p50,active_gpu_util_p95,active_mem_util_avg,active_mem_util_peak,active_mem_util_p50,active_mem_util_p95,active_mem_avg,active_mem_peak,active_mem_p50,active_mem_p95,total_mem_avg,total_mem_peak,total_mem_p50,total_mem_p95,total_gpu_util_avg,total_gpu_util_peak,total_gpu_util_p50,total_gpu_util_p95,total_mem_util_avg,total_mem_util_peak,total_mem_util_p50,total_mem_util_p95,In Tokens Total,In Tokens Avg,In Tokens P50,In Tokens P95,In Tokens Max,In Tokens Min,Out Tokens Total,Out Tokens Avg,Out Tokens P50,Out Tokens P95,Out Tokens Max,Out Tokens Min,Latency Total (s),Latency Avg (s),Latency P50 (s),Latency P95 (s),Latency Max (s),Latency Min (s),TTFT Avg (s),TTFT P50 (s),TTFT P95 (s),TTFT Max (s),TTFT Min (s),Throughput (in+out) tok/s,Throughput (out) tok/s,Throughput (in) tok/s,Energy/Tok (in+out) J/1000,Energy/Tok (out) J/1000,Energy/Tok (in) J/1000,Model Name,FrameWork,Hardware type,TP Size,PP Size,EP,Batch Size
26802.21,26802.21,661.782962962963,1060.229,707.693,819.121,661.782962962963,1060.229,707.693,819.121,53.111111111111114,93.5,53.0,74.5,26.5,31.5,27.5,30.5,156574.37808641975,158168.625,156664.625,156670.625,156574.37808641975,158168.625,156664.625,156670.625,53.111111111111114,93.5,53.0,74.5,26.5,31.5,27.5,30.5,351722,351.722,152.0,1250.2499999999998,5135,45,241712,241.712,203.0,572.5499999999995,1317,16,39.42789316177368,7.504214656352997,6.43781852722168,17.49633066654205,29.81448459625244,0.5179958343505859,0.03984925675392151,0.03486073017120361,0.08714326620101924,0.3181617259979248,0.02038717269897461,15051.121234531216,6130.482270717568,8920.638963813648,45.16460128674798,110.88489607466737,76.20282495834779,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,2,1,1,
155988.7085219953,155988.7085219953,735.7957900943397,864.4390000000001,734.5025,774.93515,735.7957900943397,864.4390000000001,734.5025,774.93515,64.97228773584905,85.25,65.25,70.46249999999999,12.038915094339623,17.0,12.0,12.75,308700.0283018868,308701.25,308701.25,308701.25,308700.0283018868,308701.25,308701.25,308701.25,64.97228773584905,85.25,65.25,70.46249999999999,12.038915094339623,17.0,12.0,12.75,351722,351.722,152.0,1250.2499999999998,5135,45,241712,241.712,203.0,572.5499999999995,1317,16,211.33592438697815,3.2677257714271546,2.7466251850128174,7.83927271366119,17.856985807418823,0.21115732192993164,0.01924849247932434,0.01679384708404541,0.03570865392684936,0.10493302345275879,0.01336812973022461,2808.012890952512,1143.7336113163612,1664.2792796361507,262.85772052493667,645.3494593648444,443.5000043272678,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,4,1,1,16
90106.90844959879,90106.90844959879,786.9598951965065,903.331,791.123,851.5697999999999,786.9598951965065,903.331,791.123,851.5697999999999,61.777292576419214,82.0,61.5,68.69999999999999,13.002183406113538,17.0,13.25,14.0,308409.73908296943,308413.25,308413.25,308413.25,308409.73908296943,308413.25,308413.25,308413.25,61.777292576419214,82.0,61.5,68.69999999999999,13.002183406113538,17.0,13.25,14.0,351722,351.722,152.0,1250.2499999999998,5135,45,241712,241.712,203.0,572.5499999999995,1317,16,113.55863356590271,3.3793898425102236,2.857602119445801,8.124603283405303,18.821733474731445,0.22420525550842285,0.020232258319854736,0.017412185668945312,0.036460030078887935,0.10826373100280762,0.013270378112792969,5225.79377159911,2128.5215611521485,3097.2722104469613,151.8398144521527,372.78624333752066,256.18786555745385,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,4,1,1,32
60304.945402277226,60304.945402277226,843.4253146853147,1014.644,856.462,941.5148,843.4253146853147,1014.644,856.462,941.5148,58.6993006993007,90.5,59.0,68.5,13.442307692307692,20.0,13.75,14.75,307940.50874125876,307949.25,307949.25,307949.25,307940.50874125876,307949.25,307949.25,307949.25,58.6993006993007,90.5,59.0,68.5,13.442307692307692,20.0,13.75,14.75,351722,351.722,152.0,1250.2499999999998,5135,45,241712,241.712,203.0,572.5499999999995,1317,16,70.61342239379883,3.976109069824219,3.2969353199005127,9.412478578090662,21.678600549697876,0.2492384910583496,0.02354789161682129,0.02034449577331543,0.038649892807006814,0.11575460433959961,0.014205694198608398,8403.982980608436,3423.0319365065475,4980.951044101889,101.62030723261091,249.49090406052338,171.45627911326906,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,4,1,1,64
46078.86049443721,46078.86049443721,903.5070588235297,1236.499,941.5035,1044.7204499999998,903.5070588235297,1236.499,941.5035,1044.7204499999998,58.33578431372549,91.75,58.75,69.0,13.708333333333334,19.5,14.25,15.987499999999997,309270.5833333333,309349.25,309349.25,309349.25,309270.5833333333,309349.25,309349.25,309349.25,58.33578431372549,91.75,58.75,69.0,13.708333333333334,19.5,14.25,15.987499999999997,351722,351.722,152.0,1250.2499999999998,5135,45,241712,241.712,203.0,572.5499999999995,1317,16,49.959625244140625,5.213551726102829,4.374230623245239,12.28479801416397,26.925881385803223,0.32529449462890625,0.029811721563339232,0.025080084800720215,0.0459444522857666,0.4186089038848877,0.016269683837890625,11878.271646355059,4838.146779901006,7040.124866454052,77.64782687617698,190.63538630451617,131.0093212663331,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,4,1,1,128
39325.00383254194,39325.00383254194,936.3096071428573,1447.7640000000001,974.1785,1116.5575,936.3096071428573,1447.7640000000001,974.1785,1116.5575,53.36011904761905,90.25,54.375,69.6625,13.482142857142858,19.75,13.75,17.637499999999996,307905.5833333333,308131.25,308115.25,308131.25,307905.5833333333,308131.25,308115.25,308131.25,53.36011904761905,90.25,54.375,69.6625,13.482142857142858,19.75,13.75,17.637499999999996,351722,351.722,152.0,1250.2499999999998,5135,45,241712,241.712,203.0,572.5499999999995,1317,16,40.884103298187256,7.769878372192383,6.632278680801392,18.091042506694794,30.761529445648193,0.5361368656158447,0.039905816793441774,0.0366206169128418,0.08121664524078367,0.4824860095977783,0.02145838737487793,14515.03034496814,5912.126731435912,8602.903613532228,66.26685331905811,162.6936347080076,111.80706305702212,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,4,1,1,
66371.405,108337.7125,322.97520681265206,415.302,321.344,355.14750000000004,527.1908150851581,619.187,525.523,559.129,69.1265206812652,93.0,69.0,74.5,48.851581508515814,53.0,49.0,52.0,78170.31006690998,78171.3125,78169.3125,78171.3125,79620.06006690998,79621.0625,79619.0625,79621.0625,17.2816301703163,23.25,17.25,18.625,12.212895377128953,13.25,12.25,13.0,332726,332.726,127.5,1244.0,6717,18,241712,241.712,203.0,572.5499999999995,1317,16,204.37592029571533,3.1628349983692168,2.658249855041504,7.563493394851679,17.554511070251465,0.20426416397094727,0.019185581922531128,0.015227556228637695,0.04008277654647826,0.1978309154510498,0.013057708740234375,2810.6931539138022,1182.6833594205345,1628.009794493268,188.5977468412605,448.2099047626928,325.60639234685596,Qwen/Qwen3-8B,vLLM,NVIDIA H100 80GB HBM3,1,1,1,16
42292.5055,66519.4290161829,356.8987805907173,440.889,360.202,404.1896,561.3453924050633,645.503,564.503,608.8254,68.53164556962025,97.0,68.0,76.19999999999999,48.59493670886076,55.0,49.0,53.0,78099.05933544303,78099.3125,78099.3125,78099.3125,79548.80933544303,79549.0625,79549.0625,79549.0625,17.132911392405063,24.25,17.0,19.049999999999997,12.14873417721519,13.75,12.25,13.25,332726,332.726,127.5,1244.0,6717,18,241712,241.712,203.0,572.5499999999995,1317,16,117.33345150947571,3.4933539781570433,2.950875163078308,8.320033943653105,19.19242000579834,0.22599339485168457,0.02129557704925537,0.016521692276000977,0.05028891563415527,0.20675349235534668,0.013872385025024414,4895.773478150935,2060.043379704718,2835.730098446217,115.79914458337174,275.2011857755631,199.9225459272281,Qwen/Qwen3-8B,vLLM,NVIDIA H100 80GB HBM3,1,1,1,32
30329.945,45662.342000000004,404.3992666666667,500.791,416.587,477.5247999999999,608.8312266666667,705.1020000000001,620.9470000000001,682.1638499999999,68.27333333333333,96.0,69.0,77.0,48.76,56.0,50.0,54.0,78054.08583333333,78057.3125,78057.3125,78057.3125,79503.83583333333,79507.0625,79507.0625,79507.0625,17.06833333333333,24.0,17.25,19.25,12.19,14.0,12.5,13.5,332726,332.726,127.5,1244.0,6717,18,241712,241.712,203.0,572.5499999999995,1317,16,73.92194533348083,4.167511838197708,3.469213604927063,10.02530710697174,23.106303215026855,0.2636590003967285,0.02542184925079346,0.018959760665893555,0.05346672534942626,0.22153687477111816,0.014884233474731445,7770.872335793694,3269.827368714057,4501.044967079637,79.49046198197196,188.912184748792,137.23707194508395,Qwen/Qwen3-8B,vLLM,NVIDIA H100 80GB HBM3,1,1,1,64
24420.525139135363,35581.194655354506,448.0803211009175,672.798,472.177,538.1998,652.863247706422,878.0840000000001,676.763,742.9323999999999,66.73394495412845,91.0,68.0,78.6,47.76146788990825,56.0,49.0,55.0,79859.20240825688,79941.3125,79941.3125,79941.3125,81308.95240825688,81391.0625,81391.0625,81391.0625,16.68348623853211,22.75,17.0,19.65,11.940366972477063,14.0,12.25,13.75,332726,332.726,127.5,1244.0,6717,18,241712,241.712,203.0,572.5499999999995,1317,16,53.28693747520447,5.602152672767639,4.741102933883667,13.054321253299713,29.215392589569092,0.346876859664917,0.03358367991447449,0.024651169776916504,0.05817214250564575,0.2984452247619629,0.016849756240844727,10780.090341414312,4536.046007757036,6244.044333657276,61.94087900757698,147.20491599653516,106.93842577783073,Qwen/Qwen3-8B,vLLM,NVIDIA H100 80GB HBM3,1,1,1,128
